scope,case_id,class_label,mode,runs,samples_per_run,latency_median_ms,latency_mean_ms,latency_stddev_ms,latency_min_ms,latency_max_ms,samples_per_s_median,samples_per_s_mean,thread_cycles_median,cycles_per_sample_median,effective_clock_mhz_median,current_mhz_min,current_mhz_max,output_exact_count
case,NSR_nsrdb_16483_chunk32,NSR,kernel,10,1800000,1770.144500000,1772.220720000,76.089606028,1668.856700000,1878.849000000,1016885.955,1017362.961,4222467034.000,2345.815019,2389.988,2401,2401,10
case,NSR_nsrdb_16483_chunk32,NSR,end_to_end,10,1800000,1983.837550000,1989.815070000,54.342580313,1902.002000000,2066.724400000,907332.367,905215.348,4733598957.000,2629.777198,2390.257,2401,2401,10
case,NSR_nsrdb_16786_chunk11,NSR,kernel,10,1800000,1801.963500000,1797.397460000,75.130033356,1679.723800000,1894.645900000,999119.232,1003040.452,4302813631.000,2390.452017,2389.346,2401,2401,10
case,NSR_nsrdb_16786_chunk11,NSR,end_to_end,10,1800000,2004.244650000,1995.117190000,78.291017028,1893.567100000,2090.105300000,898263.420,903461.007,4783772536.000,2657.651409,2390.061,2401,2401,10
case,NSR_nsrdb_16786_chunk35,NSR,kernel,10,1800000,1797.339000000,1796.937220000,54.168487433,1734.098500000,1877.215300000,1001576.361,1002522.125,4292653231.000,2384.807351,2388.190,2401,2401,10
case,NSR_nsrdb_16786_chunk35,NSR,end_to_end,10,1800000,1963.827550000,1975.619710000,77.593964907,1879.485600000,2111.865500000,916640.533,912357.760,4694659238.500,2608.144022,2390.246,2401,2401,10
case,NSR_nsrdb_19093_chunk10,NSR,kernel,10,1800000,1743.196450000,1735.501530000,34.492062975,1683.710000000,1778.871700000,1032614.231,1037534.285,4162369878.500,2312.427711,2389.863,2401,2401,10
case,NSR_nsrdb_19093_chunk10,NSR,end_to_end,10,1800000,2004.150100000,2008.210210000,79.442663079,1902.133200000,2137.569600000,898269.855,897574.773,4790506058.000,2661.392255,2390.147,2401,2401,10
case,NSR_nsrdb_19093_chunk30,NSR,kernel,10,1800000,1745.113550000,1756.383690000,71.117807578,1677.563100000,1918.881500000,1031482.013,1026289.889,4171671588.500,2317.595326,2390.224,2401,2401,10
case,NSR_nsrdb_19093_chunk30,NSR,end_to_end,10,1800000,1972.578100000,1976.150700000,73.556110983,1889.574100000,2109.543700000,912579.880,911981.343,4708310498.500,2615.728055,2387.340,2401,2401,10
case,NSR_nsrdb_19140_chunk20,NSR,kernel,10,1800000,1786.500600000,1824.645970000,108.103173619,1704.433700000,2023.072100000,1007641.749,989512.345,4271552069.000,2373.084483,2390.172,2401,2401,10
case,NSR_nsrdb_19140_chunk20,NSR,end_to_end,10,1800000,1953.898250000,1961.113460000,51.314398849,1892.671400000,2035.242900000,921235.596,918411.780,4666582071.000,2592.545595,2388.345,2401,2401,10
all_cases,ALL,ALL,kernel,360,1800000,1777.699800000,1782.070825556,79.435145042,1646.875500000,2107.561200000,1012544.413,1012034.668,4241182513.500,2356.212508,2390.209,2401,2401,360
all_cases,ALL,ALL,end_to_end,360,1800000,2007.549250000,1999.155130278,85.839932425,1847.423200000,2307.294700000,896615.633,902038.715,4794892985.000,2663.829436,2390.139,2401,2401,360
