test_id,variant,source_schematic,simulation_type,metric,target,measured,unit,deviation,status,evidence_path,notes
STRESS_dc_m200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_m200m.cir,TRAN,rms_code_difference_after_2s,,27.3369347221,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_m200m.raw,reference=aligned nominal
STRESS_dc_m200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_m200m.cir,TRAN,maximum_code_difference_after_2s,,116,LSB,,MEASURED,results/xmodel_aligned/raw/xma_dc_m200m.raw,reference=aligned nominal
STRESS_dc_m200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_m200m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.41134971068,V,,MEASURED,results/xmodel_aligned/raw/xma_dc_m200m.raw,reference=aligned nominal
STRESS_dc_m200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_m200m.cir,TRAN,recovery_last_sample_over_20_code,,2,s,,MEASURED,results/xmodel_aligned/raw/xma_dc_m200m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_dc_m200m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_dc_m200m.cir,TRAN,recovered_within_first_2s_window,,false,boolean,,MEASURED,results/xmodel_aligned/raw/xma_dc_m200m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,signed_code_min,,-103,code,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,signed_code_max,,335,code,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,mean_code_difference_after_2s,,-17.8213333333,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,mae_code_difference_after_2s,,24.8726666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,rms_code_difference_after_2s,,29.1447994217,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,maximum_code_difference_after_2s,,50,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.40663980503,V,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,reference=aligned nominal
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,recovery_last_sample_over_20_code,,2,s,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_bw_0p1hz_1m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p1hz_1m.cir,TRAN,recovered_within_first_2s_window,,false,boolean,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p1hz_1m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,signed_code_min,,-252,code,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,signed_code_max,,402,code,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,mean_code_difference_after_2s,,-62.6643333333,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,mae_code_difference_after_2s,,124.941,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,rms_code_difference_after_2s,,136.475295689,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,maximum_code_difference_after_2s,,191,LSB,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
