scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator_core",114,154,3,"CLBLM_L_X46Y51"
"accelerator_core",114,97,6,"CLBLM_L_X46Y106"
"accelerator_core",114,98,9,"CLBLM_L_X46Y105"
"accelerator_core",114,99,7,"CLBLM_L_X46Y104"
"accelerator_core",117,123,13,"CLBLM_R_X47Y81"
"accelerator_core",117,127,13,"CLBLM_R_X47Y77"
"accelerator_core",117,128,11,"CLBLM_R_X47Y76"
"accelerator_core",117,129,11,"CLBLM_R_X47Y75"
"accelerator_core",117,146,4,"CLBLM_R_X47Y59"
"accelerator_core",117,147,8,"CLBLM_R_X47Y58"
"accelerator_core",117,148,8,"CLBLM_R_X47Y57"
"accelerator_core",117,149,8,"CLBLM_R_X47Y56"
"accelerator_core",117,151,8,"CLBLM_R_X47Y54"
"accelerator_core",117,152,7,"CLBLM_R_X47Y53"
"accelerator_core",117,153,9,"CLBLM_R_X47Y52"
"accelerator_core",117,154,8,"CLBLM_R_X47Y51"
"accelerator_core",13,110,3,"CLBLM_R_X3Y94"
"accelerator_core",13,111,4,"CLBLM_R_X3Y93"
"accelerator_core",13,112,1,"CLBLM_R_X3Y92"
"accelerator_core",13,113,1,"CLBLM_R_X3Y91"
"accelerator_core",13,114,2,"CLBLM_R_X3Y90"
"accelerator_core",13,116,9,"CLBLM_R_X3Y88"
"accelerator_core",13,117,9,"CLBLM_R_X3Y87"
"accelerator_core",13,118,8,"CLBLM_R_X3Y86"
"accelerator_core",14,112,9,"CLBLL_L_X4Y92"
"accelerator_core",14,113,9,"CLBLL_L_X4Y91"
"accelerator_core",14,114,8,"CLBLL_L_X4Y90"
"accelerator_core",14,116,9,"CLBLL_L_X4Y88"
"accelerator_core",14,117,9,"CLBLL_L_X4Y87"
"accelerator_core",14,118,8,"CLBLL_L_X4Y86"
"accelerator_core",17,103,2,"CLBLM_R_X5Y100"
"accelerator_core",17,105,4,"CLBLM_R_X5Y99"
"accelerator_core",17,106,1,"CLBLM_R_X5Y98"
"accelerator_core",17,107,1,"CLBLM_R_X5Y97"
"accelerator_core",17,108,10,"CLBLM_R_X5Y96"
"accelerator_core",17,109,11,"CLBLM_R_X5Y95"
"accelerator_core",17,110,11,"CLBLM_R_X5Y94"
"accelerator_core",17,111,5,"CLBLM_R_X5Y93"
"accelerator_core",17,112,5,"CLBLM_R_X5Y92"
"accelerator_core",17,113,12,"CLBLM_R_X5Y91"
"accelerator_core",17,114,13,"CLBLM_R_X5Y90"
"accelerator_core",17,115,9,"CLBLM_R_X5Y89"
"accelerator_core",17,116,9,"CLBLM_R_X5Y88"
"accelerator_core",17,117,9,"CLBLM_R_X5Y87"
"accelerator_core",17,118,8,"CLBLM_R_X5Y86"
"accelerator_core",23,109,9,"CLBLM_R_X7Y95"
"accelerator_core",23,110,9,"CLBLM_R_X7Y94"
"accelerator_core",23,111,8,"CLBLM_R_X7Y93"
"accelerator_core",24,103,1,"CLBLM_L_X8Y100"
"accelerator_core",24,105,4,"CLBLM_L_X8Y99"
"accelerator_core",24,106,12,"CLBLM_L_X8Y98"
"accelerator_core",24,107,14,"CLBLM_L_X8Y97"
"accelerator_core",24,108,13,"CLBLM_L_X8Y96"
"accelerator_core",24,109,8,"CLBLM_L_X8Y95"
"accelerator_core",24,110,13,"CLBLM_L_X8Y94"
"accelerator_core",24,111,10,"CLBLM_L_X8Y93"
"accelerator_core",24,112,9,"CLBLM_L_X8Y92"
"accelerator_core",24,113,2,"CLBLM_L_X8Y91"
"accelerator_core",24,115,1,"CLBLM_L_X8Y89"
"accelerator_core",24,116,2,"CLBLM_L_X8Y88"
"accelerator_core",24,117,4,"CLBLM_L_X8Y87"
"accelerator_core",30,105,1,"CLBLM_L_X10Y99"
"accelerator_core",30,106,11,"CLBLM_L_X10Y98"
"accelerator_core",30,107,14,"CLBLM_L_X10Y97"
"accelerator_core",30,108,14,"CLBLM_L_X10Y96"
"accelerator_core",30,109,6,"CLBLM_L_X10Y95"
"accelerator_core",30,110,16,"CLBLM_L_X10Y94"
