scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",112,117,8,"CLBLL_R_X45Y87"
"accelerator",112,118,8,"CLBLL_R_X45Y86"
"accelerator",112,119,5,"CLBLL_R_X45Y85"
"accelerator",112,120,5,"CLBLL_R_X45Y84"
"accelerator",112,121,11,"CLBLL_R_X45Y83"
"accelerator",112,122,2,"CLBLL_R_X45Y82"
"accelerator",112,124,2,"CLBLL_R_X45Y80"
"accelerator",112,125,2,"CLBLL_R_X45Y79"
"accelerator",112,126,5,"CLBLL_R_X45Y78"
"accelerator",112,127,7,"CLBLL_R_X45Y77"
"accelerator",112,128,9,"CLBLL_R_X45Y76"
"accelerator",112,129,10,"CLBLL_R_X45Y75"
"accelerator",112,136,9,"CLBLL_R_X45Y69"
"accelerator",112,137,13,"CLBLL_R_X45Y68"
"accelerator",112,138,5,"CLBLL_R_X45Y67"
"accelerator",112,139,1,"CLBLL_R_X45Y66"
"accelerator",112,141,4,"CLBLL_R_X45Y64"
"accelerator",112,143,6,"CLBLL_R_X45Y62"
"accelerator",112,144,8,"CLBLL_R_X45Y61"
"accelerator",112,145,8,"CLBLL_R_X45Y60"
"accelerator",112,146,8,"CLBLL_R_X45Y59"
"accelerator",112,153,6,"CLBLL_R_X45Y52"
"accelerator",112,154,1,"CLBLL_R_X45Y51"
"accelerator",112,155,6,"CLBLL_R_X45Y50"
"accelerator",112,92,5,"CLBLL_R_X45Y111"
"accelerator",112,93,5,"CLBLL_R_X45Y110"
"accelerator",112,94,5,"CLBLL_R_X45Y109"
"accelerator",112,95,8,"CLBLL_R_X45Y108"
"accelerator",112,96,10,"CLBLL_R_X45Y107"
"accelerator",112,97,11,"CLBLL_R_X45Y106"
"accelerator",112,98,12,"CLBLL_R_X45Y105"
"accelerator",112,99,11,"CLBLL_R_X45Y104"
"accelerator",114,100,10,"CLBLM_L_X46Y103"
"accelerator",114,101,10,"CLBLM_L_X46Y102"
"accelerator",114,102,5,"CLBLM_L_X46Y101"
